uid,d15N,d13C,sampleID,individualID
33de0328-51d8-4932-8a66-bc268b083f97,-2.1,-29.3,AVQkM2txccdJInaV60DTclWghgJyQkIgm+zcaCgWO+c=,NEON.PLA.D01.HARV.05643
06cdf807-7980-4148-afe1-30014414d538,-1.5,-27.8,AVQkM2txcccfnFvOIWuQJKbDLFELfXIRFAGF9qDSxxY=,NEON.PLA.D01.HARV.05632
38352392-09a7-4c42-90fe-837b8e0b94ab,-3.1,-30.7,AVQkM2txccf8cJ5aHkcu56cKijO7cC4XXAftJL7SYdc=,NEON.PLA.D01.HARV.05625
e7f29e06-f0ec-4772-8cb4-6306c3a86402,-3.9,-30.1,AVQkM2txccdkxXlfsPQ38KN4nflsRnjpGaXy/aBhKBU=,NEON.PLA.D01.HARV.04568
57b8bb53-87c0-46ab-a6c9-28de4d9b620a,0.4,-25.4,HvxvVDlCk18recdnuMUehunN/NlpHPvsn6rKCv4cW6M=,NEON.PLA.D02.SCBI.00279
871a4772-7112-4cc8-9d43-26934702e11c,-1.6,-28.4,HvxvVDlCk1/lWAw6u5RweSwfmAamcWY1oknqmSB0px8=,NEON.PLA.D02.SCBI.01151
b2a979a2-d036-45ed-b920-991f5ef5f7fd,-1.2,-29.2,HvxvVDlCk1883DeQw28MdnJFN2Yr4f0apRmAwsMvV50=,NEON.PLA.D02.SCBI.03301
12b5c6b9-6c9d-48fd-b671-1dfbdeb6f477,-3.2,-28.1,HvxvVDlCk18oNCQQptCKY1FS/2EKbyWzdzxSLKrdj+4=,NEON.PLA.D02.SCBI.02574
c44ec2e0-9a20-4005-8de0-8d3fc9b9f169,-1.9,-27.9,HvxvVDlCk19Uda+oQsq6DYY/6bZIJmlzjRrqnIHDlKA=,NEON.PLA.D02.SCBI.02577
8b1ab7f6-d412-4b94-84fe-2cdce1a0bb96,-2.4,-28.6,HvxvVDlCk1+KVx888dV2UvUKxPneZWVxjm4EVnGl/t4=,NEON.PLA.D02.SCBI.02549
9cc4a263-a739-4f93-9c72-6c2af0eebac3,0.8,-28,HvxvVDlCk19XvWt6ZGxkDzEwNIwcfNq64SBG3RfAhI4=,NEON.PLA.D02.SCBI.01925
57e90af5-68b6-49d0-b60a-4f8f7648086c,-0.9,-27.5,HvxvVDlCk19/LDHwwAo3YxZqxe4gnGF33QYbdiOMRZA=,NEON.PLA.D02.SCBI.00011
1a5d6fec-15dd-4754-95c9-fdf81c1c22e5,-0.6,-28,HvxvVDlCk1+WcrkevV8Iu1UJFz5xk1r3SCyvt34gmBk=,NEON.PLA.D02.SCBI.00003
